flag,homeport_state_1789_fr,destination_ferme_bureau,year,destination_ferme_direction,destination,departure_action,homeport,departure_state_1789_fr,destination_action,departure_ferme_direction,tonnage_class,tonnage,departure,destination_state_1789_fr,departure_ferme_bureau
French,France,,1787,,Dunkerque,out,Bordeaux,France,in,Bordeaux,[51-100],70,Bordeaux,France,Bordeaux
French,France,,1787,,Dunkerque,out,Calais,France,in,Amiens,[21-50],50,Calais,France,Calais
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[21-50],50,Dunkerque,France,
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[21-50],50,Dunkerque,Autriche,
French,France,Bayonne,1787,Bayonne,Bayonne,out,Brest,France,in,,[51-100],55,Dunkerque,France,
British,Grande-Bretagne,,1787,,Ostende,out,Southampton,France,in,,[1-20],12,Dunkerque,Autriche,
Dutch,Provinces-Unies,Bordeaux,1787,Bordeaux,Bordeaux,out,Workum,France,in,,[201-500],236,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Aber Ildut,France,in,La Rochelle,[51-100],76,Marennes,France,Marennes
French,France,,1787,,Dunkerque,out,Aber Vrach,France,in,La Rochelle,[51-100],72,Marennes,France,Marennes
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Breveau [Aber Vrach],France,in,,[21-50],50,Dunkerque,France,
French,France,,1787,,Dunkerque,out,La Hougue,France,in,Amiens,[51-100],59,Boulogne sur Mer,France,Boulogne-sur-Mer
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
French,France,Saint-Valéry-sur-Somme,1787,Amiens,Saint Valéry sur Somme,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Rocque de Tau,France,in,Bordeaux,[51-100],75,Bordeaux,France,Bordeaux
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Roque de Thau,France,in,,[51-100],75,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Pouillac,France,in,Nantes,[51-100],90,Nantes,France,Nantes
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Souillac [Pouillac],France,in,,[51-100],90,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Boulogne sur Mer,France,in,Amiens,[1-20],20,Boulogne sur Mer,France,Boulogne-sur-Mer
French,France,,1787,,Dunkerque,out,Boulogne,France,in,Amiens,[1-20],20,Boulogne sur Mer,France,Boulogne-sur-Mer
French,France,,1787,,Dunkerque,out,Boulogne,France,in,Amiens,[1-20],10,Boulogne sur Mer,France,Boulogne-sur-Mer
French,France,,1787,,Dunkerque,out,Boulogne,France,in,Amiens,[1-20],18,Boulogne sur Mer,France,Boulogne-sur-Mer
French,France,,1787,,Dunkerque,out,Boulogne,France,in,Amiens,[1-20],18,Boulogne sur Mer,France,Boulogne-sur-Mer
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[21-50],30,Dunkerque,Autriche,
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[21-50],30,Dunkerque,France,
French,France,Saint-Valéry-sur-Somme,1787,Amiens,Saint Valéry sur Somme,out,Dunkerque,France,in,,[21-50],30,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Le Havre,France,in,Rouen,[21-50],48,Le Havre,France,Le Havre
French,France,,1787,,Dunkerque,out,Le Havre,France,in,Rouen,[21-50],48,Le Havre,France,Le Havre
French,France,,1787,,Dunkerque,out,Le Havre,France,in,Rouen,[21-50],48,Le Havre,France,Le Havre
French,France,Cherbourg,1787,Caen,Cherbourg,out,Dunkerque,France,in,,[51-100],90,Dunkerque,France,
French,France,La Rochelle,1787,La Rochelle,La Rochelle,out,Saint Briac,France,in,,[51-100],60,Dunkerque,France,
French,France,La Rochelle,1787,La Rochelle,La Rochelle,out,Saint Briac,France,in,,[21-50],50,Dunkerque,France,
French,France,Nantes,1787,Nantes,Nantes,out,Ile Dieu,France,in,,[51-100],65,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Saint Valéry [sur Somme],France,in,Amiens,[101-200],175,Saint Valéry sur Somme,France,Saint-Valéry-sur-Somme
French,France,Le Havre,1787,Rouen,Le Havre,out,Dunkerque,France,in,,[21-50],38,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Marennes,France,in,La Rochelle,[51-100],83,Marennes,France,Marennes
French,France,Boulogne-sur-Mer,1787,Amiens,Etaples,out,Dunkerque,France,in,,[21-50],42,Dunkerque,France,
French,France,Boulogne-sur-Mer,1787,Amiens,Etaples,out,Dunkerque,France,in,,[21-50],42,Dunkerque,France,
French,France,Boulogne-sur-Mer,1787,Amiens,Etaples,out,Dunkerque,France,in,,[21-50],42,Dunkerque,France,
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[21-50],42,Dunkerque,Autriche,
French,France,La Rochelle,1787,La Rochelle,La Rochelle,out,Roque de Thau,France,in,,[21-50],50,Dunkerque,France,
Danish/Norwegian,Danemark,,1787,,Ostende,out,Christiania,France,in,,[101-200],130,Dunkerque,Autriche,
Dutch,Provinces-Unies,Bordeaux,1787,Bordeaux,Bordeaux,out,Worckum,France,in,,[101-200],132,Dunkerque,France,
French,France,Saint-Valéry-sur-Somme,1787,Amiens,Saint Valéry sur Somme,out,Dunkerque,France,in,,[21-50],40,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Argenton,France,in,La Rochelle,[51-100],79,Marennes,France,Marennes
French,France,Bayonne,1787,Bayonne,Bayonne,out,Aber Ildut,France,in,,[51-100],60,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Roque de Tau,France,in,Bordeaux,[51-100],52,Bordeaux,France,Bordeaux
French,France,,1787,,Dunkerque,out,Roquedeteau,France,in,Amiens,[51-100],52,Calais,France,Calais
French,France,,1787,,Dunkerque,out,Noirmoutier,France,in,La Rochelle,[51-100],60,Noirmoutier,France,Sables d'Olonne
French,France,,1787,,Dunkerque,out,Noirmoutier,France,in,La Rochelle,[51-100],60,Noirmoutier,France,Sables d'Olonne
French,France,,1787,,Dunkerque,out,Calais,France,in,Amiens,[1-20],8,Calais,France,Calais
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[21-50],40,Dunkerque,France,
French,,Sables d'Olonne,1787,La Rochelle,Noirmoutier,in-out,,France,in,Lille,[51-100],55,Gravelines,France,Gravelines
French,France,,1787,,Dunkerque,out,Bourcefranc,France,in,La Rochelle,[51-100],56,Marennes,France,Marennes
French,France,Calais,1787,Amiens,Calais,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[21-50],25,Dunkerque,Autriche,
French,France,Saint-Valéry-sur-Somme,1787,Amiens,Saint Valéry sur Somme,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
French,France,Marennes,1787,La Rochelle,Marennes,out,Brouage,France,in,,[21-50],50,Dunkerque,France,
French,France,Saint-Valéry-sur-Somme,1787,Amiens,Saint Valéry sur Somme,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
French,France,Calais,1787,Amiens,Calais,out,Dunkerque,France,in,,[1-20],18,Dunkerque,France,
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[1-20],18,Dunkerque,Autriche,
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[1-20],18,Dunkerque,Autriche,
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[1-20],18,Dunkerque,France,
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Boulogne sur Mer,France,in,Amiens,[21-50],25,Boulogne sur Mer,France,Boulogne-sur-Mer
French,France,,1787,,Dunkerque,out,Boulogne sur Mer,France,in,Amiens,[21-50],25,Boulogne sur Mer,France,Boulogne-sur-Mer
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Roque de Thau,France,in,,[51-100],99,Dunkerque,France,
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Roque de Thau,France,in,,[51-100],99,Dunkerque,France,
British,Grande-Bretagne,,1787,,Dunkerque,out,Guernesey,France,in,Saint-Malo,[1-20],5,Saint Malo,France,Saint-Malo
French,France,Gravelines,1787,Lille,Gravelines,out,Ars  en Ré,France,in,La Rochelle,[51-100],55,Ars en Ré,France,Saint-Martin île de Ré
French,France,Saint-Valéry-sur-Somme,1787,Amiens,Saint Valéry sur Somme,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
French,France,Saint-Valéry-sur-Somme,1787,Amiens,Saint Valéry sur Somme,out,Dunkerque,France,in,,[21-50],30,Dunkerque,France,
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[21-50],30,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Lorient,France,in,Lorient,[51-100],55,Lorient,France,Lorient
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[51-100],75,Dunkerque,Autriche,
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[51-100],75,Dunkerque,France,
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[1-20],13,Dunkerque,Autriche,
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[1-20],12,Dunkerque,Autriche,
French,France,Calais,1787,Amiens,Calais,out,Dunkerque,France,in,,[21-50],40,Dunkerque,France,
French,France,Calais,1787,Amiens,Calais,out,Dunkerque,France,in,,[1-20],20,Dunkerque,France,
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[1-20],20,Dunkerque,Autriche,
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[1-20],12,Dunkerque,Autriche,
French,France,,1787,,Dunkerque,out,Bréhat,France,in,La Rochelle,[51-100],89,Marennes,France,Marennes
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Bréhat,France,in,,[51-100],59,Dunkerque,France,
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Argenton,France,in,,[21-50],48,Dunkerque,France,
French,France,Sables d'Olonne,1787,La Rochelle,Noirmoutier,out,Dunkerque,France,in,,[201-500],260,Dunkerque,France,
French,France,,1787,,Ostende,out,Dunkerque,France,in,,[21-50],40,Dunkerque,Autriche,
French,France,,1787,,Dunkerque,out,Noirmoutier,France,in,La Rochelle,[21-50],36,Noirmoutier,France,Sables d'Olonne
Danish/Norwegian,Danemark,,1787,,Oxefjord,out,Norvège,France,in,Lille,[101-200],150,Gravelines,Danemark,Gravelines
French,France,La Rochelle,1787,La Rochelle,La Rochelle,out,Bourcefranc,France,in,,[21-50],42,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Lorient,France,in,Caen,[51-100],66,Cherbourg,France,Cherbourg
Dutch,Provinces-Unies,Le Havre,1787,Rouen,Le Havre,out,Peckel,France,in,,[51-100],80,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Île d' Yeu,France,in,Nantes,[51-100],70,Nantes,France,Nantes
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Ile Dieu,France,in,,[51-100],77,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Nantes,France,in,Nantes,[21-50],46,Nantes,France,Nantes
Swedish,Suède,,1787,,Ostende,out,Stockholm,France,in,,[101-200],150,Dunkerque,Autriche,
Danish/Norwegian,Danemark,,1787,,Ostende,out,Trondheim,France,in,,[101-200],200,Dunkerque,Autriche,
French,France,Gravelines,1787,Lille,Gravelines,out,Ile de Ré,France,in,La Rochelle,[51-100],98,Marennes,France,Marennes
French,France,Calais,1787,Amiens,Calais,out,Dunkerque,France,in,,[1-20],15,Dunkerque,France,
Dutch,Provinces-Unies,Bordeaux,1787,Bordeaux,Bordeaux,out,Stavoren,France,in,,[101-200],160,Dunkerque,France,
French,France,Le Havre,1787,Rouen,Le Havre,out,Dunkerque,France,in,,[201-500],240,Dunkerque,France,
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Le Conquet,France,in,,[21-50],48,Dunkerque,France,
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Brest,France,in,,[21-50],48,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Noirmoutier,France,in,La Rochelle,[21-50],35,Noirmoutier,France,Sables d'Olonne
Russian,Empire russe,Calais,1787,Amiens,Calais,out,Saint Petersbourg,France,in,,[101-200],190,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Le Havre,France,in,La Rochelle,[51-100],80,Noirmoutier,France,Sables d'Olonne
French,France,,1787,,Dunkerque,out,Le Havre,France,in,Rouen,[21-50],50,Le Havre,France,Le Havre
French,France,,1787,,Dunkerque,out,Le Havre,France,in,Rouen,[21-50],40,Le Havre,France,Le Havre
French,France,Boulogne-sur-Mer,1787,Amiens,Boulogne sur Mer,out,Dunkerque,France,in,,[21-50],40,Dunkerque,France,
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[21-50],40,Dunkerque,France,
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Dunkerque,France,in,,[101-200],150,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Bayonne,France,in,Bayonne,[51-100],70,Bayonne,France,Bayonne
British,Grande-Bretagne,,1787,,Sunderland,out,Angleterre,France,in,Lille,[51-100],80,Gravelines,Grande-Bretagne,Gravelines
French,France,,1787,,Dunkerque,out,Erquy,France,in,La Rochelle,[51-100],70,Marennes,France,Marennes
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Erquy,France,in,,[51-100],56,Dunkerque,France,
Danish,Danemark,,1787,,Ostende,out,Flensbourg,France,in,,[101-200],180,Dunkerque,Autriche,
British,Grande-Bretagne,,1787,,Ostende,in-out,Hull,France,in,,[101-200],160,Dunkerque,Autriche,
British,Grande-Bretagne,,1787,,Ostende,out,Plymouth,France,in,,[51-100],100,Dunkerque,Autriche,
Danish/Norwegian,Danemark,,1787,,Fleckfjord,out,Norvège,France,in,Lille,[51-100],90,Gravelines,Danemark,Gravelines
French,France,,1787,,Dunkerque,out,Tréguier,France,in,La Rochelle,[51-100],75,Marennes,France,Marennes
French,France,,1787,,Dunkerque,out,Morlaix,France,in,La Rochelle,[51-100],63,Marennes,France,Marennes
Danish,,,1787,,Ostende,out,Copenhague,France,in,,[101-200],180,Dunkerque,Autriche,
French,France,,1787,,Dunkerque,out,Plassac,France,in,Bordeaux,[51-100],75,Bordeaux,France,Bordeaux
French,France,Saint-Valéry-sur-Somme,1787,Amiens,Saint Valéry sur Somme,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
French,France,Rouen,1787,Rouen,Rouen,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
French,France,Saint-Valéry-sur-Somme,1787,Amiens,Saint Valéry sur Somme,out,Dunkerque,France,in,,[21-50],25,Dunkerque,France,
Russian,Empire russe,Bordeaux,1787,Bordeaux,Bordeaux,out,Riga,France,in,,[101-200],180,Dunkerque,France,
British,Grande-Bretagne,Bordeaux,1787,Bordeaux,Bordeaux,out,Camstre,France,in,,[201-500],210,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Noirmoutier,France,in,La Rochelle,[51-100],60,Noirmoutier,France,Sables d'Olonne
French,France,,1787,,Dunkerque,out,Rocque de Tau,France,in,Bordeaux,[51-100],99,Bordeaux,France,Bordeaux
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Rocque de Tau,France,in,,[51-100],99,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Ile d' Yeu,France,in,La Rochelle,[51-100],62,Marennes,France,Marennes
French,France,La Rochelle,1787,La Rochelle,La Rochelle,out,Ile Dieu,France,in,,[51-100],56,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Port en Bessin,France,in,Rouen,[21-50],34,Le Havre,France,Le Havre
French,France,,1787,,Dunkerque,out,Libourne,France,in,Amiens,[51-100],60,Boulogne sur Mer,France,Boulogne-sur-Mer
French,France,,1787,,Dunkerque,out,Saint André de Cuzac,France,in,Bordeaux,[21-50],49,Bordeaux,France,Bordeaux
French,France,,1787,,Dunkerque,out,Aber Ildut,France,in,La Rochelle,[51-100],76,Marennes,France,Marennes
French,France,Gravelines,1787,Lille,Gravelines,out,Bourgneuf,France,in,Nantes,[21-50],48,Bourgneuf,France,Nantes
French,France,Gravelines,1787,Lille,Gravelines,out,Bourgneuf,France,in,Nantes,[21-50],48,Bourgneuf,France,Nantes
French,France,,1787,,Dunkerque,out,Saint Briac,France,in,La Rochelle,[51-100],94,Marennes,France,Marennes
French,France,La Rochelle,1787,La Rochelle,La Rochelle,out,Saint Briac,France,in,,[51-100],78,Dunkerque,France,
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Plassac,France,in,,[51-100],58,Dunkerque,France,
French,,,1787,,Dunkerque,out,,France,in,Rouen,[21-50],25,Le Havre,France,Le Havre
French,,,1787,,Dunkerque,out,,France,in,Rouen,[101-200],130,Le Havre,France,Le Havre
NonFrench,,,1787,,Dunkerque,in-out,,France,in,Rouen,[101-200],200,Le Havre,France,Le Havre
French,France,,1787,,Dunkerque,out,Calais,France,in,Amiens,,,Calais,France,Calais
French,France,,1787,,Amsterdam,out,Saint Martin en Ré,France,in,,[101-200],140,Dunkerque,Provinces-Unies,
French,France,Sables d'Olonne,1787,La Rochelle,Sables d' Olonne,in-out,Pornic,France,in,Lille,[21-50],48,Gravelines,France,Gravelines
French,France,La Rochelle,1787,La Rochelle,La Rochelle,out,Saint Martin en Ré,France,in,,[21-50],50,Dunkerque,France,
French,France,La Rochelle,1787,La Rochelle,La Rochelle,out,Charente,France,in,,[101-200],118,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Saint Martin de Ré,France,in,La Rochelle,[101-200],140,Marennes,France,Marennes
French,France,La Rochelle,1787,La Rochelle,La Rochelle,out,Fécamp,France,in,,[51-100],76,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Argenton,France,in,Bordeaux,[51-100],60,Bordeaux,France,Bordeaux
French,France,,1787,,Dunkerque,out,Argenton,France,in,Bordeaux,[51-100],60,Bordeaux,France,Bordeaux
French,France,Bordeaux,1787,Bordeaux,Bordeaux,out,Blaye,France,in,,[21-50],35,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Argenton,France,in,Bordeaux,[21-50],50,Bordeaux,France,Bordeaux
French,France,,1787,,Dunkerque,out,Saint Martin de Ré,France,in,La Rochelle,[51-100],69,Marennes,France,Marennes
French,France,,1787,,Dunkerque,out,Le Conquet,France,in,La Rochelle,[51-100],70,La Rochelle,France,La Rochelle
French,France,,1787,,Dunkerque,out,Mortagne,France,in,Bordeaux,[51-100],70,Bordeaux,France,Bordeaux
French,France,,1787,,Dunkerque,out,Argenton,France,in,Bordeaux,[21-50],48,Bordeaux,France,Bordeaux
French,France,,1787,,Dunkerque,out,Le Conquet,France,in,Bordeaux,[21-50],43,Bordeaux,France,Bordeaux
French,France,,1787,,Dunkerque,out,La Hougue,France,in,Bordeaux,[51-100],64,Bordeaux,France,Bordeaux
French,France,Gravelines,1787,Lille,Gravelines,out,Noirmoutier,France,in,Nantes,[51-100],70,Bourgneuf,France,Nantes
French,France,,1787,,Dunkerque,out,Saint Martin de Ré,France,in,Nantes,[51-100],60,Nantes,France,Nantes
French,France,,1787,,Dunkerque,out,Martin de Ré,France,in,La Rochelle,[101-200],160,Marennes,France,Marennes
French,France,La Rochelle,1787,La Rochelle,La Rochelle,out,Fécamp,France,in,,[51-100],76,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Le Conquet,France,in,Bordeaux,[21-50],28,Bordeaux,France,Bordeaux
French,France,,1787,,Dunkerque,out,Argenton,France,in,Bordeaux,[21-50],48,Bordeaux,France,Bordeaux
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Londres,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
French,France,Brest,1787,Lorient,Brest,out,Le Conquet,France,in,,[51-100],70,Dunkerque,France,
Swedish,Suède,,1787,,Gothembourg,out,Göteborg,France,in,,[51-100],75,Dunkerque,Suède,
Swedish,Suède,,1787,,Gothembourg,out,Göteborg,France,in,,[51-100],74,Dunkerque,Suède,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Harwich,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Douvres,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Douvres,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Douvres,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Faversham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
French,France,,1787,,Lisbonne,out,Caen,France,in,,[51-100],78,Dunkerque,Portugal,
Prussian,Prusse,,1787,,Embden,out,Emden,France,in,,[101-200],145,Dunkerque,Prusse,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
Dutch,Provinces-Unies,,1787,,Flessingue,out,Groningue,France,in,,[51-100],75,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Groningue,out,Groeningue,France,in,,[51-100],70,Dunkerque,Provinces-Unies,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Faversham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Douvres,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Douvres,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Douvres,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
Dutch,Provinces-Unies,,1787,,Catwyck,out,Catwyck,France,in,,[1-20],12,Dunkerque,Provinces-Unies,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Folkestone,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Sunderland,out,Sunderland,France,in,,[101-200],130,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Sunderland,out,Sunderland,France,in,,[101-200],130,Dunkerque,Grande-Bretagne,
Austrian NL,Autriche,,1787,,Nieuport,out,Nieuport,France,in,,[21-50],40,Dunkerque,Autriche,
Austrian NL,Autriche,,1787,,Nieuport,out,Nieuport,France,in,,[21-50],40,Dunkerque,Autriche,
Austrian NL,Autriche,,1787,,Nieuport,out,Nieuport,France,in,,[21-50],40,Dunkerque,Autriche,
Dutch,Provinces-Unies,,1787,,Noordwyck,out,Noordwyck,France,in,,[1-20],12,Dunkerque,Provinces-Unies,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Londres,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Londres,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Harwich,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Londres,out,Londres,France,in,,[51-100],96,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Londres,out,Londres,France,in,,[51-100],96,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Deal,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Deal,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Sunderland,out,Sunderland,France,in,,[101-200],180,Dunkerque,Grande-Bretagne,
Dutch,Provinces-Unies,,1787,,Zierikzee,out,Zierikzee,France,in,,[1-20],12,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Zierikzee,out,Zierikzee,France,in,,[1-20],12,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Terver,out,Tervers,France,in,,[51-100],55,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Terver,out,Tervers,France,in,,[51-100],55,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Flessingue,out,Tervers,France,in,,[51-100],55,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Terver,out,Tervers,France,in,,[51-100],55,Dunkerque,Provinces-Unies,
British,Grande-Bretagne,,1787,,Londres,out,Guernezé,France,in,,[51-100],60,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Burnham,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
