destination,year,tonnage,tonnage_class,departure_action,destination_action,flag,homeport_state_1789_fr,homeport,departure
Italie,1787,180,[101-200],in-out,in,French,,,Espagne [Mediterranean]
Cherbourg,1787,65,[51-100],out,in,French,,,Touques
Abbeville,1787,85,[51-100],out,in,French,France,Abbeville,La Rochelle
Bordeaux,1787,60,[51-100],in-out,in,French,France,Landerneau,Blaye
Dieppe,1787,30,[21-50],out,in,French,France,Dunkerque,Dunkerque
Dunkerque,1787,38,[21-50],out,in,French,France,Dunkerque,Rouen
Rouen,1787,52,[51-100],out,in,French,,,Le Havre
Guernesey,1787,3,[1-20],out,in,French,France,Carteret,Port Bail
Saint Martin de Ré,1787,60,[51-100],out,in,French,France,Saint Martin,La Rochelle
Cherbourg,1787,72,[51-100],out,in,French,France,Saint Savinien,Charente
Dunkerque,1787,42,[21-50],out,in,French,France,Dunkerque,Etaples
Dunkerque,1787,42,[21-50],out,in,French,France,Dunkerque,Etaples
Dunkerque,1787,42,[21-50],out,in,French,France,Dunkerque,Etaples
Brighthelm-Stone [Brighton],1787,50,[21-50],out,in,British,,,Dieppe
Le Havre,1787,110,[101-200],out,in,French,,Val sur la Haye,Rouen
Rouen,1787,24,[21-50],out,in,French,,,Le Havre
Le Havre,1787,30,[21-50],out,in,French,,,Quillebeuf
Le Havre,1787,30,[21-50],out,in,French,,,Quillebeuf
Rouen,1787,25,[21-50],in-out,in,French,,,Dielette
Le Havre,1787,66,[51-100],out,in,French,,,Le Havre
Le Havre,1787,66,[51-100],in-out,in,French,,,Rouen
La Hougue,1787,15,[1-20],out,in,French,France,Courseulles,Le Havre
Courseulles,1787,15,[1-20],out,in,French,France,Courseuilles,Le Havre
Courseulles,1787,15,[1-20],out,in,French,France,Courseulles,Courseulles
Courseulles,1787,15,[1-20],out,in,French,France,Courseulles,Rouen
Christiania,1787,130,[101-200],out,in,Danish/Norwegian,Danemark,Christiania,Dunkerque
Courseulles,1787,12,[1-20],out,in,French,France,Courseuilles,Granville
Touques,1787,38,[21-50],in-out,in,French,,,Honfleur
Cherbourg,1787,35,[21-50],out,in,French,France,Perros Guirec,Nantes
Dunkerque,1787,85,[51-100],out,in,French,,Cognac,Charente
Rochefort,1787,120,[101-200],out,in,French,France,Saint Saverne [Saint Savinien],Dunkerque
Le Tréport,1787,70,[51-100],out,in,French,France,Le Tréport,Dieppe
La Rochelle,1787,63,[51-100],out,in,French,France,Ile aux moines,Calais
Cherbourg,1787,48,[21-50],out,in,French,France,Argentan,La Rochelle
Harfleur,1787,86,[51-100],in-out,in-out,French,,,Harfleur
Rotterdam,1787,86,[51-100],in-out,in,French,,,Harfleur
Newcastle,1787,178,[101-200],out,in,British,,,Dieppe
Le Havre,1787,80,[51-100],out,in,French,,,Quillebeuf
Rouen,1787,80,[51-100],out,in,French,,,Le Havre
Mandal,1787,150,[101-200],out,in,Danish,Danemark,Nordahl,Dunkerque
Rouen,1787,74,[51-100],out,in,French,,,Le Havre
Courseulles,1787,12,[1-20],out,in,French,France,Courseulles,Granville
Courseulles,1787,12,[1-20],out,in,French,France,Courseulles,Granville
Rouen,1787,34,[21-50],in-out,in,French,,,Honfleur
Rouen,1787,38,[21-50],out,in,French,France,Saint Malo,Harfleur
Cherbourg,1787,55,[51-100],out,in,French,France,Cherbourg,Charente
Nantes,1787,70,[51-100],out,in,French,France,Nantes,Dunkerque
Charente,1787,60,[51-100],out,in,French,France,Carteret,La Rochelle
Rouen,1787,60,[51-100],in-out,in,French,France,Carteret,Le Havre
Dieppe,1787,54,[51-100],out,in,French,France,Le Conquet,Nantes
Ile de Ré,1787,56,[51-100],out,in,French,France,La Flotte,La Rochelle
Genes,1787,,,out,in,French,,,Bastia
Méan,1787,30,[21-50],out,in,French,France,Méan,Nantes
Cancale,1787,8,[1-20],out,in,French,France,Dunkerque,Cherbourg
Courseulles,1787,15,[1-20],out,in,French,France,Courseuilles,Courseulles
Courseulles,1787,15,[1-20],out,in,French,France,Courseulles,Granville
Gothembourg,1787,144,[101-200],out,in,French,France,Dieppe,Dieppe
Courseulles,1787,10,[1-20],out,in,French,France,Courseulles,Courseulles
Courseulles,1787,10,[1-20],out,in,French,France,Courseulles,Granville
Le Havre,1787,30,[21-50],out,in,French,France,Dunkerque,Calais
La Tremblade,1787,20,[1-20],out,in,French,France,Saint Savinien,Charente
Noirmoutier,1787,55,[51-100],out,in,French,,,Gravelines
Yarmouth,1787,45,[21-50],out,in,British,Grande-Bretagne,Yarmouth,Dunkerque
Nord Ferrow en Norvege,1787,25,[21-50],out,in,British,Grande-Bretagne,Dublin,Charente
Granville,1787,12,[1-20],out,in,French,France,La Hougue,Le Havre
Granville,1787,18,[1-20],out,in,French,France,La Hougue,Isigny
Nord Ferrow en Norvege,1787,36,[21-50],out,in,British,Grande-Bretagne,Dublin,Lorient
Granville,1787,18,[1-20],out,in,French,France,La Hougue,Granville
Rouen,1787,18,[1-20],out,in,French,France,La Hougue,Granville
Jersey,1787,2,[1-20],out,in,British,,,Port Bail
Nord Ferrow en Norvege,1787,45,[21-50],out,in,British,Grande-Bretagne,Dublin,Lorient
Londres,1787,99,[51-100],out,in,French,,Roque de Thau,Dunkerque
Nord Ferrow en Norvege,1787,12,[1-20],out,in,British,Grande-Bretagne,Folkestone,Dunkerque
Nord Ferrow en Norvege,1787,40,[21-50],out,in,British,Grande-Bretagne,Dublin,Lorient
Caen,1787,40,[21-50],out,in,French,,,Fécamp
Honfleur,1787,40,[21-50],out,in,French,,,Fécamp
Lisbonne,1787,50,[21-50],out,in,French,,,Fécamp
Cherbourg,1787,50,[21-50],out,in,French,France,Le Faou,Isigny
Caen,1787,25,[21-50],out,in,French,France,Boulogne sur Mer,Fécamp
Rouen,1787,25,[21-50],in-out,in,French,France,La Hougue,La Hougue
Granville,1787,25,[21-50],out,in,French,France,La Hougue,Granville
Rouen,1787,25,[21-50],out,in,French,France,La Hougue,Granville
Mediterranée,1787,,,out,in,French,,,Bastia
Granville,1787,25,[21-50],out,in,French,France,La Hougue,Rouen
Nord Ferrow en Norvege,1787,22,[21-50],out,in,British,Grande-Bretagne,Dublin,Bordeaux
Le Croisic,1787,59,[51-100],out,in,French,France,Regneville,Saint Valery en Caux
Granville,1787,25,[21-50],out,in,French,France,La Hougue,Cherbourg
Rouen,1787,30,[21-50],out,in,French,France,La Hougue,Fécamp
Granville,1787,30,[21-50],out,in,French,France,La Hougue,Dieppe
Rouen,1787,23,[21-50],out,in,French,France,La Hougue,Granville
Rouen,1787,50,[21-50],in-out,in,French,,,Le Havre
Bordeaux,1787,37,[21-50],out,in,French,,Saint George,Brest
Rouen,1787,12,[1-20],out,in,French,France,La Hougue,Rouen
Londres,1787,22,[21-50],out,in,French,,,Boulogne sur Mer
Rouen,1787,102,[101-200],out,in,French,France,Rouen,La Rochelle
Rouen,1787,90,[51-100],out,in,NonFrench,,,Quillebeuf
Marennes,1787,80,[51-100],out,in,French,France,France  [Ars-en-Ré],Seudre
Ars en Ré,1787,70,[51-100],out,in,French,France,France  [Ars-en-Ré],Seudre
Le Havre,1787,9,[1-20],out,in,French,,,Pont Audemer
Cherbourg,1787,120,[101-200],out,in,French,France,Cherbourg,Rouen
Charente,1787,78,[51-100],out,in,French,France,Saint Savinien,Cherbourg
Treguier,1787,60,[51-100],out,in,French,France,Lannion,Roscoff
Angleterre,1787,30,[21-50],out,in,British,,,Boulogne sur Mer
Reneville,1787,2,[1-20],out,in,French,,,Granville
Rouen,1787,74,[51-100],out,in,French,,,Dieppe
Côte de Bretagne,1787,45,[21-50],in-out,in,French,France,Saint Malo,Cancale
La Hougue,1787,14,[1-20],out,in,French,France,La Hougue,Quillebeuf
Cherbourg,1787,25,[21-50],out,in,French,France,La Hougue,Dieppe
Fécamp,1787,25,[21-50],out,in,French,France,La Hougue,Dieppe
Granville,1787,25,[21-50],out,in,French,France,La Hougue,Granville
Dunkerque,1787,55,[51-100],out,in,French,France,Lorient,Lorient
Cherbourg,1787,90,[51-100],out,in,French,France,Cherbourg,Charente
Saint Malo,1787,9,[1-20],out,in,French,France,Réneville,Port Bail
Nantes,1787,75,[51-100],out,in,French,France,Noirmoutier,Dunkerque
Rouen,1787,30,[21-50],out,in,French,,,Le Havre
Le Havre,1787,12,[1-20],out,in,French,,,Pont Audemer
Saint Valéry sur Somme,1787,44,[21-50],out,in,French,France,Cherbourg,Charente
Marseille,1787,,,out,in,French,France,Marseille,Cayenne
Port en Bessin,1787,10,[1-20],out,in,French,France,La Hougue,Cherbourg
Granville,1787,10,[1-20],out,in,French,France,La Hougue,Granville
Londres,1787,32,[21-50],out,in,British,Grande-Bretagne,Londres,Calais
Rouen,1787,112,[101-200],in-out,in,French,France,Rouen ,Le Havre
Rouen,1787,112,[101-200],out,in,French,France,Rouen,Caudebec
