tonnage,homeport_state_1789_fr,year,pointcall_province,pointcall_admiralty,pointcall_action,tonnage_class,homeport,ferme_bureau,flag,pointcall,ferme_direction
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Wick,Dunkerque,British,Dunkerque,Lille
35,France,1787,Flandre,Dunkerque,out,[21-50],Blaye,Dunkerque,French,Dunkerque,Lille
20,France,1787,Flandre,Dunkerque,out,[1-20],Boulogne sur Mer,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Ramsgate,Dunkerque,British,Dunkerque,Lille
4,France,1787,Flandre,Dunkerque,sailing around,[1-20],Dunkerque,Dunkerque,French,Dunkerque,Lille
65,France,1787,Flandre,Dunkerque,out,[51-100],Boulogne sur Mer,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Faversham,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Burnham,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Reculver,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Maldon,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Rye,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Reculver,Dunkerque,British,Dunkerque,Lille
70,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Hull,Dunkerque,British,Dunkerque,Lille
300,France,1787,Flandre,Dunkerque,in-out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
65,France,1787,Flandre,Dunkerque,out,[51-100],Nantes,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Colchester,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hastings,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hyde [Hythe],Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Burnham,Dunkerque,British,Dunkerque,Lille
80,France,1787,Flandre,Dunkerque,out,[51-100],Brest,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hastings,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Gravesand,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Londres,Dunkerque,British,Dunkerque,Lille
60,Duché d'Oldenbourg,1787,Flandre,Dunkerque,out,[51-100],Oldenbourg,Dunkerque,Oldenburguese,Dunkerque,Lille
130,Danemark,1787,Flandre,Dunkerque,out,[101-200],Christiania,Dunkerque,Danish/Norwegian,Dunkerque,Lille
36,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Harwich,Dunkerque,British,Dunkerque,Lille
55,Autriche,1787,Flandre,Dunkerque,out,[51-100],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Loo [Lee],Dunkerque,British,Dunkerque,Lille
35,France,1787,Flandre,Dunkerque,out,[21-50],Le Conquet,Dunkerque,French,Dunkerque,Lille
50,Provinces-Unies,1787,Flandre,Dunkerque,out,[21-50],Tervers,Dunkerque,Dutch,Dunkerque,Lille
90,Provinces-Unies,1787,Flandre,Dunkerque,out,[51-100],Amsterdam,Dunkerque,Dutch,Dunkerque,Lille
30,Grande-Bretagne,1787,Flandre,Dunkerque,out,[21-50],Padstow,Dunkerque,British,Dunkerque,Lille
145,Suède,1787,Flandre,Dunkerque,out,[101-200],Göteborg,Dunkerque,Swedish,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Rye,Dunkerque,British,Dunkerque,Lille
96,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],London,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Rochester,Dunkerque,British,Dunkerque,Lille
100,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
60,Autriche,1787,Flandre,Dunkerque,out,[51-100],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
64,France,1787,Flandre,Dunkerque,out,[51-100],Paimpol,Dunkerque,French,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Pett,Dunkerque,British,Dunkerque,Lille
130,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Sunderland,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Faversham,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hastings,Dunkerque,British,Dunkerque,Lille
50,Autriche,1787,Flandre,Dunkerque,out,[21-50],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
80,Suède,1787,Flandre,Dunkerque,out,[51-100],Göteborg,Dunkerque,Swedish,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Anford [Lawford],Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Maldon,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Londres,Dunkerque,British,Dunkerque,Lille
55,France,1787,Flandre,Dunkerque,out,[51-100],Libourne,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Faversham,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Burnham,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Greenwich,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
180,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Sunderland,Dunkerque,British,Dunkerque,Lille
50,France,1787,Flandre,Dunkerque,out,[21-50],Brouage,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hastings,Dunkerque,British,Dunkerque,Lille
12,France,1787,Flandre,Dunkerque,sailing around,[1-20],Dunkerque,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Harwich,Dunkerque,British,Dunkerque,Lille
150,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Sunderland,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
110,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Sunderland,Dunkerque,British,Dunkerque,Lille
60,France,1787,Flandre,Dunkerque,out,[51-100],Noirmoutier,Dunkerque,French,Dunkerque,Lille
66,France,1787,Flandre,Dunkerque,out,[51-100],Libourne,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hastings,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hastings,Dunkerque,British,Dunkerque,Lille
59,France,1787,Flandre,Dunkerque,out,[51-100],La Hougue,Dunkerque,French,Dunkerque,Lille
40,France,1787,Flandre,Dunkerque,out,[21-50],Boulogne sur Mer,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Colchester,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
80,Provinces-Unies,1787,Flandre,Dunkerque,out,[51-100],Rotterdam,Dunkerque,Dutch,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
130,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Southwoule,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Donaghadee,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Burnham,Dunkerque,British,Dunkerque,Lille
130,Danemark,1787,Flandre,Dunkerque,out,[101-200],Christiania,Dunkerque,Danish/Norwegian,Dunkerque,Lille
20,France,1787,Flandre,Dunkerque,out,[1-20],Boulogne sur Mer,Dunkerque,French,Dunkerque,Lille
60,France,1787,Flandre,Dunkerque,out,[51-100],Libourne,Dunkerque,French,Dunkerque,Lille
400,,1787,Flandre,Dunkerque,out,[201-500],,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
120,France,1787,Flandre,Dunkerque,out,[101-200],Saint Saverne [Saint Savinien],Dunkerque,French,Dunkerque,Lille
12,France,1787,Flandre,Dunkerque,out,[1-20],Dunkerque,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
45,Grande-Bretagne,1787,Flandre,Dunkerque,out,[21-50],Guernezé,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Portsmouth,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Harwich,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Rye,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Londres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Londres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Faversham,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Burnham,Dunkerque,British,Dunkerque,Lille
70,Autriche,1787,Flandre,Dunkerque,out,[51-100],Ostende,Dunkerque,Austrian NL,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Faversham,Dunkerque,British,Dunkerque,Lille
70,Provinces-Unies,1787,Flandre,Dunkerque,out,[51-100],Rotterdam,Dunkerque,Dutch,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hastings,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Wistable,Dunkerque,British,Dunkerque,Lille
57,France,1787,Flandre,Dunkerque,out,[51-100],La Rochelle,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Margate,Dunkerque,British,Dunkerque,Lille
100,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Malden,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
62,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
58,France,1787,Flandre,Dunkerque,out,[51-100],Marennes,Dunkerque,French,Dunkerque,Lille
20,France,1787,Flandre,Dunkerque,out,[1-20],Dunkerque,Dunkerque,French,Dunkerque,Lille
130,France,1787,Flandre,Dunkerque,out,[101-200],Libourne,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hastings,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Maldon,Dunkerque,British,Dunkerque,Lille
55,Provinces-Unies,1787,Flandre,Dunkerque,out,[51-100],Tervers,Dunkerque,Dutch,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
58,,1787,Flandre,Dunkerque,out,[51-100],Naadezny,Dunkerque,Prussian,Dunkerque,Lille
40,Autriche,1787,Flandre,Dunkerque,out,[21-50],Nieuport,Dunkerque,Austrian NL,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Malden,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Ipswich,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Burnham,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
160,Grande-Bretagne,1787,Flandre,Dunkerque,out,[101-200],Sunderland,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Harwich,Dunkerque,British,Dunkerque,Lille
20,France,1787,Flandre,Dunkerque,out,[1-20],Boulogne sur Mer,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Rye,Dunkerque,British,Dunkerque,Lille
90,Provinces-Unies,1787,Flandre,Dunkerque,out,[51-100],Dort,Dunkerque,Dutch,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Bearing,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Lyn,Dunkerque,British,Dunkerque,Lille
20,France,1787,Flandre,Dunkerque,out,[1-20],Dunkerque,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Burnham,Dunkerque,British,Dunkerque,Lille
220,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
70,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Hull,Dunkerque,British,Dunkerque,Lille
100,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Exeter,Dunkerque,British,Dunkerque,Lille
18,France,1787,Flandre,Dunkerque,out,[1-20],Dunkerque,Dunkerque,French,Dunkerque,Lille
75,France,1787,Flandre,Dunkerque,out,[51-100],Dunkerque,Dunkerque,French,Dunkerque,Lille
133,France,1787,Flandre,Dunkerque,out,[101-200],Nantes,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Wistable,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,Provinces-Unies,1787,Flandre,Dunkerque,out,[1-20],Zeerieckzee,Dunkerque,Dutch,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
150,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
38,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Burnham,Dunkerque,British,Dunkerque,Lille
150,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Burnham,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Harwich,Dunkerque,British,Dunkerque,Lille
55,Provinces-Unies,1787,Flandre,Dunkerque,out,[51-100],Tervers,Dunkerque,Dutch,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Harwich,Dunkerque,British,Dunkerque,Lille
95,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Sunderland,Dunkerque,British,Dunkerque,Lille
100,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
30,Grande-Bretagne,1787,Flandre,Dunkerque,out,[21-50],Padstow,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
48,France,1787,Flandre,Dunkerque,out,[21-50],Argenton,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Rye,Dunkerque,British,Dunkerque,Lille
180,Hambourg,1787,Flandre,Dunkerque,out,[101-200],Hambourg,Dunkerque,Hamburguese,Dunkerque,Lille
50,Provinces-Unies,1787,Flandre,Dunkerque,out,[21-50],Tervers,Dunkerque,Dutch,Dunkerque,Lille
250,Etats-Unis d'Amérique,1787,Flandre,Dunkerque,out,[201-500],Nantuckett,Dunkerque,USA,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Haring [Harwich],Dunkerque,British,Dunkerque,Lille
250,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
162,France,1787,Flandre,Dunkerque,out,[101-200],Ile aux moines,Dunkerque,French,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Mazy [Mersey],Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hastings,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Greenwich,Dunkerque,British,Dunkerque,Lille
60,Duché d'Oldenbourg,1787,Flandre,Dunkerque,out,[51-100],Oldenbourg,Dunkerque,Oldenburguese,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Greenwich,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Colchester,Dunkerque,British,Dunkerque,Lille
40,France,1787,Flandre,Dunkerque,out,[21-50],Dunkerque,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Harwich,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hastings,Dunkerque,British,Dunkerque,Lille
55,France,1787,Flandre,Dunkerque,out,[51-100],Lorient,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
70,Prusse,1787,Flandre,Dunkerque,out,[51-100],Emden,Dunkerque,Prussian,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Maldon,Dunkerque,British,Dunkerque,Lille
20,France,1787,Flandre,Dunkerque,out,[1-20],Dunkerque,Dunkerque,French,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Reculver,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Whistable,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Maldon,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Faversham,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Woodbrige,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Burnham,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Londres,Dunkerque,British,Dunkerque,Lille
70,Provinces-Unies,1787,Flandre,Dunkerque,out,[51-100],Amsterdam,Dunkerque,Dutch,Dunkerque,Lille
180,Suède,1787,Flandre,Dunkerque,out,[101-200],Barth,Dunkerque,Swedish,Dunkerque,Lille
150,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
50,France,1787,Flandre,Dunkerque,out,[21-50],Argenton,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Rye,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Colchester,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Maldon,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Londres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Folkestone,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Douvres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
600,Etats-Unis d'Amérique,1787,Flandre,Dunkerque,out,[501 et plus],Nantuckett,Dunkerque,USA,Dunkerque,Lille
60,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Guernezey,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Harwich,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
15,France,1787,Flandre,Dunkerque,out,[1-20],Boulogne sur Mer,Dunkerque,French,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Hearing [Harwich],Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Harwich,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Margate,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Deal,Dunkerque,British,Dunkerque,Lille
100,Grande-Bretagne,1787,Flandre,Dunkerque,out,[51-100],Londres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Londres,Dunkerque,British,Dunkerque,Lille
12,Grande-Bretagne,1787,Flandre,Dunkerque,out,[1-20],Faversham,Dunkerque,British,Dunkerque,Lille
190,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
